model,file,machine,n_q,enum,cost
openai/gpt-5-mini,AA_2958d924-08be-406,5,6,5.0,0.002157
openai/gpt-5-mini,AA_27e407f8-7dc7-428,3,6,4.0,0.002281
openai/gpt-5-mini,AA_94917b5c-07a6-4c5,1,6,1.0,0.001992
openai/gpt-5-mini,AA_810c50e0-1c11-44b,1,5,2.0,0.00241425
openai/gpt-5-mini,AA_f9d06535-01d9-432,0,5,1.0,0.00309775
openai/gpt-5-mini,AA_398f7981-c4b7-4fd,0,6,0.0,0.001481
openai/gpt-5-mini,AA_e87962ab-1398-4ca,0,6,1.0,0.0025105
openai/gpt-5-mini,AA_7e0f11d6-0031-492,3,6,4.0,0.0022485
openai/gpt-5-mini,AA_44e68d46-79a6-402,4,7,5.0,0.00458875
openai/gpt-5-mini,AA_ba957417-5e7b-491,1,5,1.0,0.00300125
openai/gpt-5-mini,AA_5dce002b-57cd-4c9,5,6,5.0,0.00315825
openai/gpt-5-mini,AA_93ae4640-bf92-45b,3,6,4.0,0.00254575
openai/gpt-5-mini,AA_aef46179-5917-4dd,0,6,0.0,0.003964
openai/gpt-5-mini,AA_eb127efb-92a9-4eb,1,4,5.0,0.0029265
openai/gpt-5-mini,AA_9fd3b07d-cb1e-42b,5,6,6.0,0.00214675
openai/gpt-5-mini,AA_98d3878d-7611-485,3,5,3.0,0.00320225
openai/gpt-5-mini,AA_dff96b36-bded-45d,1,6,2.0,0.00223975
openai/gpt-5-mini,AA_4e25386a-f7bc-4a1,3,6,4.0,0.00390925
openai/gpt-5-mini,AA_34eb5079-1c89-41d,1,6,4.0,0.00219825
openai/gpt-5-mini,AA_e323a748-9ded-40c,3,6,3.0,0.00174325
openai/gpt-5-mini,AA_271887cf-1b78-4ce,1,6,0.0,0.00595975
openai/gpt-5-mini,AA_5e864c07-25df-4cc,4,6,5.0,0.0026165
openai/gpt-5-mini,AA_268319c5-6f94-4a8,2,6,1.0,0.00612075
openai/gpt-5-mini,AA_a8eef4b9-ab7b-48d,0,5,0.0,0.001288
openai/gpt-5-mini,AA_df7b47e1-1bc3-45c,5,6,6.0,0.00320725
